age,job,marital,education,default,balance,housing,loan,index
35,blue-collar,single,secondary,no,12223,yes,yes,69
57,blue-collar,married,secondary,no,5935,yes,yes,70
31,services,married,secondary,no,25,yes,yes,71
54,management,married,secondary,no,282,yes,yes,72
55,blue-collar,married,primary,no,23,yes,no,73
43,technician,married,secondary,no,1937,yes,no,74
53,technician,married,secondary,no,384,yes,no,75
44,blue-collar,married,secondary,no,582,no,yes,76
55,services,divorced,secondary,no,91,no,no,77
49,services,divorced,secondary,no,0,yes,yes,78
55,services,divorced,secondary,yes,1,yes,no,79
45,admin.,single,secondary,no,206,yes,no,80
47,services,divorced,secondary,no,164,no,no,81
42,technician,single,secondary,no,690,yes,no,82
59,admin.,married,secondary,no,2343,yes,no,83
46,self-employed,married,tertiary,no,137,yes,yes,84
51,blue-collar,married,primary,no,173,yes,no,85
56,admin.,married,secondary,no,45,no,no,86
41,technician,married,secondary,no,1270,yes,no,87
46,management,divorced,secondary,no,16,yes,yes,88
57,retired,married,secondary,no,486,yes,no,89
42,management,single,secondary,no,50,no,no,90
30,technician,married,secondary,no,152,yes,yes,91
60,admin.,married,secondary,no,290,yes,no,92
60,blue-collar,married,unknown,no,54,yes,no,93
57,entrepreneur,divorced,secondary,no,-37,no,no,94
36,management,married,tertiary,no,101,yes,yes,95
55,blue-collar,married,secondary,no,383,no,no,96
60,retired,married,tertiary,no,81,yes,no,97
39,technician,married,secondary,no,0,yes,no,98
46,management,married,tertiary,no,229,yes,no,99
44,blue-collar,married,secondary,no,-674,yes,no,100
53,blue-collar,married,primary,no,90,no,no,101
52,blue-collar,married,primary,no,128,yes,no,102
59,blue-collar,married,primary,no,179,yes,no,103
27,technician,single,tertiary,no,0,yes,no,104
44,blue-collar,married,secondary,no,54,yes,no,105
47,technician,married,tertiary,no,151,yes,no,106
34,admin.,married,secondary,no,61,no,yes,107
59,retired,single,secondary,no,30,yes,no,108
45,management,married,tertiary,no,523,yes,no,109
29,services,divorced,secondary,no,31,yes,no,110
46,technician,divorced,secondary,no,79,no,no,111
56,self-employed,married,primary,no,-34,yes,yes,112
36,blue-collar,married,primary,no,448,yes,no,113
59,retired,divorced,primary,no,81,yes,no,114
44,blue-collar,married,secondary,no,144,yes,no,115
41,admin.,married,secondary,no,351,yes,no,116
33,management,single,tertiary,no,-67,yes,no,117
59,management,divorced,tertiary,no,262,no,no,118
57,technician,married,primary,no,0,no,no,119
56,technician,divorced,unknown,no,56,yes,no,120
51,blue-collar,married,secondary,no,26,yes,no,121
34,admin.,married,unknown,no,3,yes,no,122
43,services,married,secondary,no,41,yes,yes,123
52,technician,married,tertiary,no,7,no,yes,124
33,technician,single,secondary,no,105,yes,no,125
29,admin.,single,secondary,no,818,yes,yes,126
34,services,married,secondary,no,-16,yes,yes,127
31,blue-collar,married,secondary,no,0,yes,no,128
55,services,married,secondary,no,2476,yes,no,129
55,management,married,unknown,no,1185,no,no,130
32,admin.,single,secondary,no,217,yes,no,131
38,technician,single,secondary,no,1685,yes,no,132
55,admin.,single,secondary,no,802,yes,yes,133
28,unemployed,single,tertiary,no,0,yes,no,134
23,blue-collar,married,secondary,no,94,yes,no,135
32,technician,single,secondary,no,0,yes,no,136
43,services,single,unknown,no,0,no,no,137
32,blue-collar,married,secondary,no,517,yes,no,138
46,blue-collar,married,secondary,no,265,yes,no,139
53,housemaid,divorced,primary,no,947,yes,no,140
34,self-employed,single,secondary,no,3,yes,no,141
57,unemployed,married,tertiary,no,42,no,no,142
37,blue-collar,married,secondary,no,37,yes,no,143
59,blue-collar,married,secondary,no,57,yes,no,144
33,services,married,secondary,no,22,yes,no,145
56,blue-collar,divorced,primary,no,8,yes,no,146
48,unemployed,married,secondary,no,293,yes,no,147
43,services,married,primary,no,3,yes,no,148
54,blue-collar,married,primary,no,348,yes,no,149
51,blue-collar,married,unknown,no,-19,yes,no,150
26,student,single,secondary,no,0,yes,no,151
40,management,married,tertiary,no,-4,yes,no,152
39,management,married,secondary,no,18,yes,no,153
50,technician,married,primary,no,139,no,no,154
41,services,married,secondary,no,0,yes,no,155
51,blue-collar,married,unknown,no,1883,yes,no,156
60,retired,divorced,secondary,no,216,yes,no,157
52,blue-collar,married,secondary,no,782,yes,no,158
48,blue-collar,married,secondary,no,904,yes,no,159
48,services,married,unknown,no,1705,yes,no,160
39,technician,single,tertiary,no,47,yes,no,161
47,services,single,secondary,no,176,yes,no,162
40,blue-collar,married,secondary,no,1225,yes,no,163
45,technician,married,secondary,no,86,yes,no,164
26,admin.,single,secondary,no,82,yes,no,165
52,management,married,tertiary,no,271,yes,no,166
54,technician,married,secondary,no,1378,yes,no,167
54,admin.,married,tertiary,no,184,no,no,168
50,blue-collar,married,primary,no,0,no,no,169
35,blue-collar,married,secondary,no,0,yes,no,170
44,services,married,secondary,no,1357,yes,yes,171
53,entrepreneur,married,unknown,no,19,yes,no,172
35,retired,single,primary,no,434,no,no,173
60,admin.,divorced,secondary,no,92,yes,no,174
53,admin.,divorced,secondary,no,1151,yes,no,175
48,unemployed,married,secondary,no,41,yes,no,176
34,technician,married,secondary,no,51,yes,no,177
54,services,married,secondary,no,214,yes,no,178
51,management,married,secondary,no,1161,yes,no,179
31,services,married,tertiary,no,37,yes,no,180
35,technician,divorced,secondary,no,787,yes,no,181
35,services,married,secondary,no,59,yes,no,182
38,technician,married,secondary,no,253,yes,no,183
36,admin.,married,tertiary,no,211,yes,no,184
58,retired,married,primary,no,235,yes,no,185
40,services,divorced,unknown,no,4384,yes,no,186
54,management,married,secondary,no,4080,no,no,187
34,blue-collar,single,secondary,no,53,yes,yes,188
31,management,single,tertiary,no,0,yes,no,189
51,retired,married,secondary,no,2127,yes,no,190
33,management,married,tertiary,no,377,yes,no,191
55,management,married,tertiary,no,73,yes,no,192
42,admin.,married,secondary,no,445,yes,no,193
34,blue-collar,married,secondary,no,243,yes,no,194
33,blue-collar,single,secondary,no,307,yes,no,195
38,services,married,secondary,no,155,yes,no,196
50,technician,divorced,tertiary,no,173,no,yes,197
43,management,married,tertiary,no,400,yes,no,198
61,blue-collar,divorced,primary,no,1428,yes,no,199
47,admin.,married,secondary,no,219,yes,no,200
48,self-employed,married,tertiary,no,7,yes,no,201
44,blue-collar,married,secondary,no,575,yes,no,202
35,student,single,unknown,no,298,yes,no,203
35,services,married,secondary,no,0,yes,no,204
50,services,married,secondary,no,5699,yes,no,205
41,management,married,tertiary,no,176,yes,yes,206
41,management,married,tertiary,no,517,yes,no,207
39,services,single,unknown,no,257,yes,no,208
42,retired,married,secondary,no,56,yes,no,209
38,blue-collar,married,secondary,no,-390,yes,no,210
53,retired,married,secondary,no,330,yes,no,211
59,housemaid,divorced,primary,no,195,no,no,212
36,services,married,secondary,no,301,yes,no,213
54,blue-collar,married,primary,no,-41,yes,no,214
40,technician,married,tertiary,no,483,yes,no,215
47,unknown,married,unknown,no,28,no,no,216
53,unemployed,married,unknown,no,13,no,no,217
46,housemaid,married,primary,no,965,no,no,218
39,management,married,tertiary,no,378,yes,yes,219
40,unemployed,married,secondary,no,219,yes,no,220
28,blue-collar,married,primary,no,324,yes,no,221
35,entrepreneur,divorced,secondary,no,-69,yes,no,222
55,retired,married,secondary,no,0,no,yes,223
43,technician,divorced,unknown,no,205,yes,no,224
48,blue-collar,married,primary,no,278,yes,no,225
58,management,married,unknown,no,1065,yes,no,226
33,management,single,tertiary,no,34,yes,no,227
36,blue-collar,married,unknown,no,1033,no,no,228
53,services,divorced,secondary,no,1467,yes,no,229
47,blue-collar,married,primary,no,-12,yes,no,230
31,services,married,secondary,no,388,yes,no,231
57,entrepreneur,married,secondary,no,294,yes,no,232
53,blue-collar,married,unknown,no,1827,no,no,233
55,blue-collar,married,primary,no,627,yes,no,234
45,blue-collar,married,primary,no,25,yes,no,235
53,admin.,divorced,secondary,no,315,yes,no,236
37,blue-collar,married,primary,no,0,yes,no,237
44,admin.,divorced,secondary,no,66,yes,no,238
49,blue-collar,divorced,primary,no,-9,yes,yes,239
46,technician,married,secondary,no,349,yes,yes,240
43,entrepreneur,married,unknown,no,100,yes,no,241
38,admin.,married,secondary,no,0,no,no,242
43,technician,married,secondary,no,434,yes,no,243
49,management,married,tertiary,no,3237,yes,no,244
42,management,married,unknown,no,275,no,no,245
22,blue-collar,single,secondary,no,0,yes,no,246
40,management,married,tertiary,no,207,yes,no,247
39,blue-collar,married,secondary,no,483,yes,no,248
51,services,married,secondary,no,2248,yes,no,249
49,admin.,married,secondary,no,428,yes,no,250
53,blue-collar,married,secondary,no,0,yes,yes,251
34,services,single,secondary,no,0,yes,no,252
33,technician,divorced,secondary,no,140,yes,no,253
50,management,single,tertiary,no,297,yes,no,254
39,blue-collar,married,primary,no,279,yes,no,255
59,entrepreneur,divorced,secondary,no,901,yes,no,256
30,technician,single,secondary,no,2573,yes,no,257
36,services,married,secondary,no,143,yes,yes,258
40,blue-collar,married,secondary,no,475,yes,no,259
53,blue-collar,married,secondary,no,70,yes,no,260
34,management,single,tertiary,no,318,yes,no,261
37,technician,married,secondary,no,275,yes,no,262
42,management,divorced,tertiary,no,742,yes,no,263
41,entrepreneur,married,primary,no,236,yes,no,264
30,student,single,tertiary,no,25,yes,no,265
37,management,single,tertiary,no,600,yes,no,266
39,admin.,divorced,secondary,no,-349,yes,no,267
41,blue-collar,married,primary,no,183,yes,yes,268
40,blue-collar,married,primary,no,0,yes,no,269
42,management,single,tertiary,no,0,yes,yes,270
40,blue-collar,divorced,primary,no,0,yes,no,271
57,technician,married,secondary,no,1078,yes,no,272
56,entrepreneur,divorced,secondary,no,155,no,no,273
37,admin.,married,secondary,no,190,yes,no,274
59,retired,married,secondary,no,319,yes,no,275
39,services,divorced,secondary,no,-185,yes,no,276
49,services,married,secondary,no,47,no,no,277
38,services,single,secondary,no,570,yes,no,278
36,self-employed,married,tertiary,no,19,no,no,279
50,blue-collar,married,primary,no,61,yes,no,280
41,admin.,married,secondary,no,-62,yes,yes,281
54,technician,married,tertiary,no,258,no,no,282
58,blue-collar,married,primary,no,76,yes,no,283
30,blue-collar,single,secondary,no,0,yes,no,284
33,admin.,single,secondary,no,352,yes,no,285
47,admin.,married,secondary,no,368,yes,no,286
50,technician,single,tertiary,no,339,yes,no,287
32,blue-collar,married,secondary,no,1331,yes,no,288
40,self-employed,married,secondary,no,672,yes,no,289
37,management,married,tertiary,no,58,yes,no,290
54,technician,single,unknown,no,447,yes,no,291
24,student,single,secondary,no,423,yes,no,292
54,management,married,tertiary,no,0,no,no,293
34,technician,married,secondary,no,19,yes,no,294
56,technician,divorced,primary,no,13,yes,no,295
31,blue-collar,single,secondary,no,3,yes,no,296
24,student,single,secondary,no,82,yes,no,297
42,blue-collar,divorced,primary,no,28,yes,no,298
57,technician,married,secondary,no,792,yes,no,299
42,blue-collar,married,unknown,no,408,yes,no,300
51,admin.,married,secondary,no,531,yes,no,301
57,retired,married,secondary,no,211,yes,no,302
36,services,single,secondary,no,62,yes,no,303
53,services,married,unknown,no,257,yes,no,304
50,technician,married,secondary,no,1234,yes,no,305
54,management,married,tertiary,no,313,yes,no,306
55,blue-collar,married,secondary,no,89,yes,no,307
44,blue-collar,married,secondary,no,129,yes,yes,308
43,management,married,unknown,no,0,yes,no,309
56,admin.,married,secondary,no,353,yes,no,310
54,technician,married,unknown,no,851,yes,no,311
55,services,divorced,primary,no,96,yes,yes,312
37,services,divorced,secondary,no,398,yes,yes,313
33,admin.,single,tertiary,no,193,no,no,314
46,admin.,married,secondary,no,-358,yes,no,315
36,blue-collar,married,secondary,no,539,yes,yes,316
51,technician,single,secondary,no,0,yes,no,317
40,retired,single,primary,no,0,no,no,318
42,blue-collar,married,secondary,no,490,yes,no,319
51,blue-collar,married,secondary,no,0,yes,no,320
49,blue-collar,married,unknown,no,403,yes,no,321
48,management,married,secondary,no,161,yes,no,322
32,technician,divorced,tertiary,no,2558,no,no,323
31,admin.,single,secondary,no,98,yes,no,324
55,management,single,tertiary,no,115,no,no,325
40,blue-collar,single,secondary,no,436,yes,no,326
47,technician,married,tertiary,no,831,yes,no,327
57,technician,married,unknown,no,206,yes,no,328
41,blue-collar,married,secondary,no,290,yes,no,329
48,blue-collar,married,secondary,no,1,no,no,330
42,blue-collar,married,unknown,no,57,yes,no,331
30,blue-collar,single,secondary,no,-457,yes,no,332
58,management,single,tertiary,no,1387,yes,no,333
45,management,divorced,tertiary,no,24598,yes,no,334
49,blue-collar,married,secondary,no,30,yes,no,335
42,admin.,single,secondary,no,1022,yes,no,336
53,technician,married,secondary,no,56,yes,yes,337
51,admin.,single,secondary,yes,-2,no,no,338
32,services,single,secondary,no,121,yes,no,339
41,blue-collar,single,secondary,no,842,yes,no,340
43,management,divorced,secondary,no,693,yes,no,341
40,blue-collar,divorced,secondary,no,-333,yes,no,342
50,blue-collar,married,primary,no,1533,yes,no,343
34,management,married,tertiary,no,46,yes,no,344
53,services,married,unknown,no,18,no,no,345
45,technician,married,secondary,no,44,yes,no,346
39,blue-collar,married,primary,no,-100,yes,no,347
44,services,married,tertiary,no,510,yes,no,348
55,management,married,tertiary,no,685,yes,no,349
46,management,single,tertiary,no,187,yes,no,350
45,blue-collar,married,secondary,no,66,yes,no,351
34,admin.,married,secondary,no,560,yes,no,352
36,blue-collar,married,secondary,no,0,yes,no,353
59,unknown,divorced,unknown,no,27,no,no,354
31,admin.,single,secondary,no,12,yes,no,355
44,blue-collar,single,secondary,no,34,yes,no,356
33,entrepreneur,single,tertiary,no,1068,yes,no,357
40,blue-collar,married,secondary,no,211,yes,no,358
46,admin.,single,tertiary,no,377,yes,no,359
48,management,married,tertiary,no,263,yes,no,360
42,services,married,secondary,no,1263,yes,no,361
27,services,married,secondary,no,8,yes,no,362
48,admin.,married,secondary,no,126,yes,yes,363
59,admin.,married,secondary,no,230,yes,no,364
46,technician,married,tertiary,no,841,yes,no,365
38,admin.,divorced,secondary,no,308,yes,no,366
43,management,divorced,tertiary,no,1,yes,no,367
38,admin.,divorced,tertiary,no,86,yes,no,368
23,student,single,secondary,no,157,yes,no,369
34,services,married,secondary,no,22,yes,no,370
38,admin.,married,secondary,no,46,yes,yes,371
37,blue-collar,married,secondary,no,1293,no,no,372
25,admin.,single,secondary,no,122,yes,no,373
48,blue-collar,married,unknown,no,131,yes,no,374
49,blue-collar,single,secondary,no,143,yes,no,375
38,admin.,single,secondary,no,393,no,no,376
43,blue-collar,married,primary,no,98,yes,no,377
33,management,married,tertiary,no,0,yes,no,378
55,blue-collar,married,secondary,no,224,yes,no,379
38,blue-collar,married,secondary,no,757,yes,no,380
49,services,married,secondary,no,245,yes,yes,381
40,management,married,secondary,no,8486,no,no,382
43,admin.,married,unknown,no,350,no,no,383
38,blue-collar,married,secondary,no,20,yes,no,384
58,services,married,secondary,no,1667,yes,yes,385
57,technician,married,unknown,no,345,yes,no,386
32,unemployed,married,secondary,no,10,yes,no,387
56,management,married,tertiary,no,830,yes,yes,388
58,blue-collar,divorced,unknown,no,29,yes,no,389
60,retired,divorced,secondary,no,545,yes,no,390
37,technician,married,tertiary,no,8730,yes,no,391
46,technician,divorced,tertiary,no,477,yes,no,392
27,admin.,married,secondary,no,4,yes,no,393
43,blue-collar,married,secondary,no,1205,yes,no,394
32,technician,single,secondary,no,0,yes,yes,395
40,admin.,single,secondary,no,263,yes,no,396
38,admin.,married,secondary,no,1,no,no,397
34,blue-collar,married,secondary,no,283,no,yes,398
47,blue-collar,married,primary,no,206,yes,no,399
42,housemaid,married,primary,no,17,yes,no,400
48,technician,married,secondary,no,141,yes,yes,401
29,self-employed,single,tertiary,no,16,yes,no,402
50,services,married,secondary,no,206,yes,no,403
52,technician,married,unknown,no,7,no,no,404
50,management,married,tertiary,no,0,no,no,405
58,retired,married,tertiary,no,0,no,no,406
46,blue-collar,divorced,primary,no,1927,yes,no,407
38,technician,married,secondary,no,284,yes,no,408
46,blue-collar,married,secondary,no,1660,yes,no,409
32,services,single,secondary,no,406,yes,no,410
51,blue-collar,married,primary,no,230,yes,no,411
39,admin.,single,secondary,no,-25,yes,no,412
48,admin.,married,secondary,no,182,yes,no,413
36,entrepreneur,married,tertiary,no,1169,yes,no,414
34,admin.,divorced,secondary,no,67,yes,no,415
40,technician,married,secondary,no,77,no,no,416
43,unemployed,married,secondary,no,0,yes,no,417
52,blue-collar,divorced,primary,no,55,yes,yes,418
33,technician,married,secondary,yes,72,yes,no,419
49,management,single,tertiary,no,163,yes,no,420
32,management,single,tertiary,no,151,yes,no,421
39,admin.,single,secondary,no,113,yes,no,422
40,blue-collar,married,secondary,no,0,yes,no,423
38,technician,single,tertiary,no,9,yes,no,424
43,management,married,secondary,no,375,yes,no,425
39,services,married,secondary,no,1142,yes,no,426
54,blue-collar,married,primary,no,2102,yes,no,427
38,technician,single,tertiary,no,4325,yes,no,428
40,blue-collar,married,secondary,no,217,yes,no,429
55,admin.,married,secondary,no,131,yes,no,430
42,management,married,tertiary,no,1680,yes,no,431
39,blue-collar,married,secondary,no,0,yes,no,432
40,blue-collar,married,primary,no,46,yes,no,433
32,blue-collar,married,secondary,no,320,yes,no,434
55,admin.,married,secondary,no,183,yes,no,435
45,blue-collar,married,secondary,no,39,no,no,436
35,management,single,tertiary,no,560,yes,no,437
58,technician,divorced,secondary,no,469,no,no,438
35,admin.,married,secondary,no,530,yes,no,439
49,services,married,primary,no,61,yes,no,440
34,technician,single,tertiary,no,242,yes,no,441
36,blue-collar,married,secondary,no,139,yes,no,442
24,self-employed,single,secondary,no,0,yes,no,443
34,technician,married,secondary,no,367,yes,no,444
51,admin.,divorced,secondary,no,228,yes,no,445
39,technician,single,unknown,no,45248,yes,no,446
50,self-employed,married,unknown,no,-84,yes,no,447
32,services,single,secondary,no,310,yes,no,448
42,blue-collar,married,unknown,no,132,yes,no,449
50,technician,married,secondary,no,797,yes,no,450
40,services,married,secondary,no,71,no,no,451
46,management,divorced,unknown,no,2,yes,no,452
37,management,married,tertiary,no,231,yes,yes,453
34,blue-collar,married,secondary,no,270,yes,yes,454
44,blue-collar,married,secondary,no,274,yes,yes,455
40,admin.,single,secondary,no,-109,yes,yes,456
37,technician,married,secondary,no,1,yes,no,457
33,blue-collar,single,secondary,yes,-60,no,no,458
35,blue-collar,married,secondary,no,89,yes,no,459
58,blue-collar,divorced,secondary,no,-11,no,no,460
39,blue-collar,married,primary,no,0,yes,no,461
43,blue-collar,married,secondary,no,-509,yes,no,462
39,unemployed,married,primary,no,408,yes,no,463
36,services,single,primary,no,58,yes,no,464
57,retired,single,secondary,no,1640,no,yes,465
36,admin.,single,secondary,no,20,yes,no,466
50,blue-collar,married,primary,no,71,yes,no,467
55,blue-collar,married,secondary,no,52,yes,no,468
44,self-employed,married,tertiary,no,292,yes,no,469
44,services,divorced,secondary,no,424,yes,no,470
39,housemaid,single,primary,no,109,yes,no,471
46,blue-collar,married,unknown,no,1044,yes,no,472
39,blue-collar,married,secondary,no,983,yes,no,473
34,admin.,married,secondary,no,869,no,no,474
40,blue-collar,married,primary,no,668,yes,no,475
50,management,married,tertiary,no,964,yes,no,476
31,management,single,secondary,no,301,yes,no,477
37,admin.,single,secondary,no,140,yes,no,478
39,management,single,secondary,no,1877,yes,no,479
51,blue-collar,married,primary,no,1127,yes,no,480
41,technician,married,secondary,no,871,yes,no,481
41,technician,married,secondary,no,767,yes,yes,482
43,blue-collar,married,secondary,no,0,no,no,483
30,services,single,secondary,no,209,yes,no,484
54,management,divorced,primary,no,0,no,no,485
43,blue-collar,divorced,secondary,no,110,yes,yes,486
59,management,divorced,tertiary,no,-76,yes,yes,487
47,technician,married,unknown,no,178,yes,no,488
40,blue-collar,married,primary,no,-66,yes,no,489
32,technician,married,secondary,no,0,yes,no,490
29,blue-collar,married,secondary,no,1,yes,no,491
36,blue-collar,married,secondary,no,0,yes,no,492
55,unemployed,married,tertiary,no,5345,no,no,493
30,blue-collar,divorced,secondary,no,-209,yes,no,494
39,admin.,single,secondary,no,0,yes,no,495
39,blue-collar,divorced,secondary,no,42,yes,no,496
50,blue-collar,divorced,secondary,no,41,yes,no,497
44,blue-collar,married,secondary,no,-99,yes,no,498
37,technician,single,secondary,no,17,yes,no,499
46,admin.,married,primary,no,276,yes,yes,500
32,technician,single,unknown,no,-170,no,no,501
37,management,single,tertiary,no,230,yes,yes,502
29,blue-collar,married,secondary,no,9,yes,no,503
41,blue-collar,married,secondary,no,946,yes,no,504
45,blue-collar,married,primary,no,1297,yes,no,505
57,retired,divorced,secondary,no,-331,yes,no,506
48,blue-collar,single,secondary,no,44,yes,no,507
60,retired,married,secondary,yes,15,no,no,508
26,admin.,single,secondary,no,712,yes,no,509
58,retired,married,secondary,no,5435,yes,no,510
34,admin.,married,secondary,no,507,yes,no,511
55,unemployed,divorced,secondary,no,387,yes,no,512
41,blue-collar,married,primary,no,0,yes,yes,513
50,management,divorced,secondary,no,1716,yes,no,514
49,entrepreneur,married,secondary,no,167,yes,yes,515
44,admin.,married,unknown,no,40,no,yes,516
44,blue-collar,married,primary,no,148,yes,no,517
31,technician,married,secondary,no,17,yes,yes,518
34,blue-collar,single,tertiary,no,1011,yes,no,519
46,management,single,unknown,no,1527,yes,no,520
42,management,married,tertiary,no,744,no,no,521
52,admin.,married,secondary,no,484,yes,no,522
29,management,single,tertiary,no,0,yes,no,523
53,retired,married,primary,no,136,yes,no,524
43,blue-collar,married,secondary,no,1335,yes,no,525
38,management,married,secondary,no,517,yes,no,526
46,management,married,tertiary,no,459,yes,no,527
48,management,divorced,unknown,no,549,yes,no,528
30,admin.,divorced,secondary,no,83,yes,yes,529
44,blue-collar,married,primary,no,213,no,no,530
31,housemaid,married,primary,no,203,yes,no,531
42,services,single,secondary,no,518,yes,no,532
40,management,single,tertiary,no,3877,yes,no,533
52,admin.,married,secondary,no,1236,yes,no,534
45,blue-collar,divorced,secondary,no,756,yes,no,535
48,blue-collar,married,secondary,no,157,yes,no,536
45,blue-collar,married,primary,no,-66,yes,no,537
34,blue-collar,married,unknown,no,245,yes,no,538
34,blue-collar,married,primary,no,-144,yes,no,539
46,blue-collar,married,secondary,no,71,yes,no,540
49,services,divorced,secondary,no,505,yes,no,541
50,technician,married,primary,no,249,yes,no,542
34,admin.,single,secondary,no,0,yes,no,543
40,unemployed,single,secondary,no,11,yes,no,544
36,admin.,married,secondary,no,639,yes,no,545
59,blue-collar,divorced,unknown,no,124,yes,no,546
45,blue-collar,married,secondary,no,82,yes,no,547
36,self-employed,married,tertiary,no,107,yes,no,548
56,services,married,secondary,no,473,yes,no,549
42,services,divorced,secondary,no,372,yes,yes,550
30,admin.,married,secondary,no,46,yes,no,551
30,student,single,tertiary,no,34,yes,no,552
47,self-employed,married,unknown,no,935,yes,no,553
33,blue-collar,married,secondary,no,-10,yes,no,554
36,admin.,married,secondary,no,-106,yes,no,555
39,services,divorced,primary,no,471,yes,no,556
56,admin.,divorced,secondary,no,778,yes,no,557
39,blue-collar,divorced,unknown,no,170,yes,no,558
42,technician,married,secondary,no,315,yes,no,559
52,blue-collar,married,secondary,no,3165,no,no,560
36,admin.,divorced,secondary,no,131,yes,no,561
35,entrepreneur,married,secondary,yes,204,yes,no,562
47,technician,married,secondary,no,83,yes,no,563
59,services,divorced,secondary,no,0,yes,yes,564
57,blue-collar,married,primary,no,5431,yes,yes,565
38,management,married,unknown,no,1759,yes,no,566
46,unemployed,married,secondary,no,-125,yes,no,567
34,blue-collar,married,secondary,no,0,no,no,568
28,services,single,secondary,no,5090,yes,no,569
38,technician,married,unknown,no,573,yes,no,570
56,blue-collar,married,secondary,no,1602,yes,no,571
41,blue-collar,single,primary,yes,-137,yes,yes,572
52,technician,married,unknown,no,0,no,no,573
54,services,married,secondary,no,193,no,no,574
61,retired,married,secondary,no,195,yes,yes,575
53,entrepreneur,married,secondary,no,288,no,no,576
47,technician,married,secondary,no,19,yes,no,577
53,blue-collar,married,primary,no,25,yes,no,578
46,services,married,secondary,no,216,yes,no,579
39,blue-collar,divorced,primary,no,190,yes,yes,580
56,technician,divorced,secondary,no,99,yes,no,581
55,services,divorced,primary,no,2298,yes,no,582
44,management,married,tertiary,no,17,yes,no,583
37,technician,married,primary,no,0,yes,no,584
35,blue-collar,married,primary,no,0,yes,no,585
55,blue-collar,married,secondary,no,840,yes,no,586
37,services,married,secondary,no,358,yes,no,587
30,technician,single,secondary,no,0,yes,no,588
37,blue-collar,married,primary,no,-325,yes,yes,589
36,technician,single,secondary,no,-15,yes,no,590
38,technician,married,secondary,no,581,yes,no,591
41,admin.,divorced,primary,no,4070,yes,no,592
